epoch,accuracy,loss,val_accuracy,val_loss
0,0.20436842739582062,2.7591261863708496,0.20715206861495972,2.786721706390381
1,0.28756123781204224,2.435666799545288,0.21746134757995605,2.768911838531494
2,0.3150244951248169,2.323960781097412,0.2342139184474945,2.7508084774017334
3,0.331245481967926,2.2515175342559814,0.2364690750837326,2.7760415077209473
4,0.34441500902175903,2.19441294670105,0.2390463948249817,2.7072834968566895
5,0.3495543301105499,2.1553947925567627,0.23614691197872162,2.701205253601074
6,0.35702240467071533,2.118379831314087,0.24033504724502563,2.752685546875
7,0.3674616515636444,2.084076404571533,0.24226804077625275,2.708538293838501
8,0.3692283034324646,2.068190813064575,0.2364690750837326,2.7326955795288086
0,0.3594314754009247,2.104999542236328,0.23936855792999268,2.694922924041748
1,0.37003132700920105,2.0933337211608887,0.24033504724502563,2.7056777477264404
2,0.3697904050350189,2.0900285243988037,0.24065721035003662,2.7017745971679688
3,0.3645707964897156,2.095306634902954,0.24387887120246887,2.6958982944488525
